model,param_name,r2_mean,r2_std,mae_mean,mae_std
MLP,optimal_default_k,-3.2152,0.0,4.3044039,0.0
MLP,optimal_i_min,-4.4882,0.0,0.04358762,0.0
MLP,optimal_i_max,-2.1876,0.0,0.08799729,0.0
MLP,optimal_spacing_m,-0.532,0.0,1.1e-06,0.0
MLP,optimal_noise_float,-4.6091,0.0,0.75525049,0.0
MLP,optimal_I_th_A,-3.2775,0.0,0.00049116,0.0
MLP,optimal_lambda0_m,-4.5515,0.0,0.0,0.0
MLP,optimal_dt_ns,-124195.2228,0.0,0.00233971,0.0
MLP,optimal_store_every,-4.6994,0.0,60.87135987,0.0
HistGBT,optimal_default_k,-0.3611,0.0,2.68571429,0.0
HistGBT,optimal_i_min,-0.3611,0.0,0.01857143,0.0
HistGBT,optimal_i_max,-0.3611,0.0,0.05285714,0.0
HistGBT,optimal_spacing_m,-0.3611,0.0,7.9e-07,0.0
HistGBT,optimal_noise_float,-0.3611,0.0,0.28571429,0.0
HistGBT,optimal_I_th_A,-0.3611,0.0,0.00020238,0.0
HistGBT,optimal_lambda0_m,-0.3611,0.0,0.0,0.0
HistGBT,optimal_dt_ns,-0.3611,0.0,1.429e-05,0.0
HistGBT,optimal_store_every,-0.3611,0.0,22.85714286,0.0
kNN,optimal_default_k,-1.3379,0.0,3.40714286,0.0
kNN,optimal_i_min,-1.1153,0.0,0.02357143,0.0
kNN,optimal_i_max,-0.7046,0.0,0.05785714,0.0
kNN,optimal_spacing_m,-0.1696,0.0,8.9e-07,0.0
kNN,optimal_noise_float,-1.3333,0.0,0.42857143,0.0
kNN,optimal_I_th_A,-0.8804,0.0,0.00028929,0.0
kNN,optimal_lambda0_m,-1.125,0.0,0.0,0.0
kNN,optimal_dt_ns,-0.4583,0.0,1.071e-05,0.0
kNN,optimal_store_every,-1.3333,0.0,34.28571429,0.0
